id,name,stream_url,logo_url,genre,country,language,is_active,type,source
tv_america_tv_hd,"America TV HD",http://181.188.216.5:18000/play/a0j8/index.m3u8,,General,Peru,es,true,tv,csv
tv_latina_hd,"Latina HD",http://181.188.216.5:18000/play/a0jc/index.m3u8,,General,Peru,es,true,tv,csv
tv_hbo_hd,"HBO HD",http://181.188.216.5:18000/play/a0hm/index.m3u8,,Movies,International,es,true,tv,csv
tv_hbo_family_hd,"HBO Family HD",http://181.188.216.5:18000/play/a0lr/index.m3u8,,Movies,International,es,true,tv,csv
tv_cinemax_hd,"Cinemax HD",http://181.188.216.5:18000/play/a0lf/index.m3u8,,Movies,International,es,true,tv,csv
tv_sony_hd,"SONY HD",http://181.188.216.5:18000/play/a0cn/index.m3u8,,General,International,es,true,tv,csv
tv_warner_hd,"WARNER HD",http://181.188.216.5:18000/play/a0cm/index.m3u8,,General,International,es,true,tv,csv
tv_studio_universal_hd,"Studio Universal HD",http://181.188.216.5:18000/play/a0cr/index.m3u8,,General,International,es,true,tv,csv
tv_universal_hd,"Universal HD",http://181.188.216.5:18000/play/a0n9/index.m3u8,,General,International,es,true,tv,csv
tv_universal_channel_hd,"UNIVERSAL CHANNEL HD",http://181.188.216.5:18000/play/a0o9/index.m3u8,,General,International,es,true,tv,csv
tv_paramount_hd,"Paramount HD",http://181.188.216.5:18000/play/a0h5/index.m3u8,,General,International,es,true,tv,csv
tv_espn_7hd,"ESPN 7HD",http://181.188.216.5:18000/play/a0on/index.m3u8,,Sports,International,es,true,tv,csv
tv_espn_2_hd,"ESPN 2 HD",http://181.188.216.5:18000/play/a0oz/index.m3u8,,Sports,International,es,true,tv,csv
tv_espn_3_hd,"ESPN 3 HD",http://181.188.216.5:18000/play/a0dm/index.m3u8,,Sports,International,es,true,tv,csv
tv_fox_sports_hd,"Fox Sports HD",http://181.188.216.5:18000/play/a0nc/index.m3u8,,Sports,USA,es,true,tv,csv
tv_fox_sports_2_hd,"Fox Sports 2 HD",http://181.188.216.5:18000/play/a0n8/index.m3u8,,Sports,USA,es,true,tv,csv
tv_fox_sports_3_hd,"Fox Sports 3 HD",http://181.188.216.5:18000/play/a0ng/index.m3u8,,Sports,USA,es,true,tv,csv
tv_golf_channel_hd,"Golf Channel HD",http://181.188.216.5:18000/play/a0d4/index.m3u8,,General,International,es,true,tv,csv
tv_tnt_hd,"TNT HD",http://181.188.216.5:18000/play/a0ol/index.m3u8,,General,International,es,true,tv,csv
tv_tnt_series_hd,"TNT Series HD",http://181.188.216.5:18000/play/a0ob/index.m3u8,,General,International,es,true,tv,csv
tv_fx_hd,"FX HD",http://181.188.216.5:18000/play/a0gm/index.m3u8,,Movies,International,es,true,tv,csv
tv_axn_hd,"AXN HD",http://181.188.216.5:18000/play/a0oq/index.m3u8,,General,International,es,true,tv,csv
tv_amc_hd,"AMC HD",http://181.188.216.5:18000/play/a0cw/index.m3u8,,General,International,es,true,tv,csv
tv_ae_hd,"A&E HD",http://181.188.216.5:18000/play/a0cv/index.m3u8,,General,International,es,true,tv,csv
tv_discovery_channel_hd,"Discovery Channel HD",http://181.188.216.5:18000/play/a0dr/index.m3u8,,Documentary,International,es,true,tv,csv
tv_discovery_hd,"Discovery HD",http://181.188.216.5:18000/play/a00f/index.m3u8,,Documentary,International,es,true,tv,csv
tv_discovery_theater_hd,"Discovery Theater HD",http://181.188.216.5:18000/play/a0ig/index.m3u8,,Documentary,International,es,true,tv,csv
tv_discovery_id_hd,"Discovery ID HD",http://181.188.216.5:18000/play/a0dv/index.m3u8,,Documentary,International,es,true,tv,csv
tv_id_hd,"ID HD",http://181.188.216.5:18000/play/a0or/index.m3u8,,General,International,es,true,tv,csv
tv_animal_planet_hd,"Animal Planet HD",http://181.188.216.5:18000/play/a0oh/index.m3u8,,Documentary,International,es,true,tv,csv
tv_history_channel_hd,"History Channel HD",http://181.188.216.5:18000/play/a0oj/index.m3u8,,Documentary,International,es,true,tv,csv
tv_history_hd,"History HD",http://181.188.216.5:18000/play/a0ak/index.m3u8,,Documentary,International,es,true,tv,csv
tv_disney_hd,"Disney HD",http://181.188.216.5:18000/play/a0ot/index.m3u8,,Kids,International,es,true,tv,csv
tv_discovery_kids_hd,"Discovery Kids HD",http://181.188.216.5:18000/play/a0pr/index.m3u8,,Kids,International,es,true,tv,csv
tv_mtv_hd,"MTV HD",http://181.188.216.5:18000/play/a0hn/index.m3u8,,Music,International,es,true,tv,csv
tv_mtv_live_hd,"MTV LIVE HD",http://181.188.216.5:18000/play/a08e/index.m3u8,,Music,International,es,true,tv,csv
tv_comedy_central_hd,"Comedy Central HD",http://181.188.216.5:18000/play/a0ha/index.m3u8,,Comedy,International,es,true,tv,csv
tv_food_network_hd,"Food Network HD",http://181.188.216.5:18000/play/a0qp/index.m3u8,,General,International,es,true,tv,csv
tv_golden_hd,"Golden HD",http://181.188.216.5:18000/play/a0jg/index.m3u8,,General,International,es,true,tv,csv
tv_space_hd,"Space HD",http://181.188.216.5:18000/play/a0os/index.m3u8,,General,International,es,true,tv,csv
tv_telemundo_hd,"Telemundo HD",http://181.188.216.5:18000/play/a0cx/index.m3u8,,General,International,es,true,tv,csv
tv_las_estrellas_hd,"Las Estrellas HD",http://181.188.216.5:18000/play/a0ox/index.m3u8,,General,International,es,true,tv,csv
tv_hola_tv_hd,"HOLA! TV HD",http://181.188.216.5:18000/play/a0da/index.m3u8,,General,International,es,true,tv,csv
tv_futv_hd_cr,"FUTV HD CR",http://181.188.216.5:18000/play/a0dj/index.m3u8,,General,International,es,true,tv,csv
tv_az_click_hd,"AZ click HD",http://181.188.216.5:18000/play/a0d2/index.m3u8,,General,International,es,true,tv,csv
tv_chv_hd,"CHV HD",http://181.188.216.5:18000/play/a0ii/index.m3u8,,General,Chile,es,true,tv,csv
tv_cinecanal_hd,"CINECANAL HD",http://181.188.216.5:18000/play/a0co/index.m3u8,,Movies,International,es,true,tv,csv
tv_canal_10_hd,"Canal 10 HD",http://181.188.216.5:18000/play/a09i/index.m3u8,,General,International,es,true,tv,csv
tv_canal_10_hd_esa,"Canal 10 HD - ESA",http://181.188.216.5:18000/play/a09c/index.m3u8,,General,International,es,true,tv,csv
tv_canal_13_hd,"Canal 13 HD",http://181.188.216.5:18000/play/a0gi/index.m3u8,,General,Argentina,es,true,tv,csv
tv_canal_4_hd_esa,"Canal 4 HD ESA",http://181.188.216.5:18000/play/a09d/index.m3u8,,General,International,es,true,tv,csv
tv_canal_7_hd_cr,"Canal 7 HD CR",http://181.188.216.5:18000/play/a0cp/index.m3u8,,General,International,es,true,tv,csv
tv_caracol_hd,"Caracol HD",http://181.188.216.5:18000/play/a0fd/index.m3u8,,General,Colombia,es,true,tv,csv
tv_dhe_hd,"DHE HD",http://181.188.216.5:18000/play/a0p0/index.m3u8,,General,International,es,true,tv,csv
tv_disc_theather_hd,"DISC THEATHER HD",http://181.188.216.5:18000/play/a0d8/index.m3u8,,General,International,es,true,tv,csv
tv_discovery_hh_hd,"Discovery H&H HD",http://181.188.216.5:18000/play/a0kx/index.m3u8,,Documentary,International,es,true,tv,csv
tv_discovery_world_hd,"Discovery World HD",http://181.188.216.5:18000/play/a005/index.m3u8,,Documentary,International,es,true,tv,csv
tv_e_entertairment_hd,"E! Entertairment HD",http://181.188.216.5:18000/play/a0ct/index.m3u8,,General,International,es,true,tv,csv
tv_ecuador_tv_hd,"ECUADOR TV HD",http://181.188.216.5:18000/play/a0lt/index.m3u8,,General,International,es,true,tv,csv
tv_ecuavisa_gye_fhd,"ECUAVISA GYE FHD",http://181.188.216.5:18000/play/a0n0/index.m3u8,,General,International,es,true,tv,csv
tv_ecuavisa_hd,"ECUAVISA HD",http://181.188.216.5:18000/play/a0ls/index.m3u8,,General,International,es,true,tv,csv
tv_espn_4_hd,"ESPN  4 HD",http://181.188.216.5:18000/play/a0am/index.m3u8,,Sports,International,es,true,tv,csv
tv_espn_6_hd,"ESPN 6 HD",http://181.188.216.5:18000/play/a0dn/index.m3u8,,Sports,International,es,true,tv,csv
tv_espn_premium_hd,"ESPN Premium HD",http://181.188.216.5:18000/play/a0fe/index.m3u8,,Sports,International,es,true,tv,csv
tv_el_gourmet_hd,"El Gourmet HD",http://181.188.216.5:18000/play/a0hb/index.m3u8,,General,International,es,true,tv,csv
tv_europa_hd,"Europa HD",http://181.188.216.5:18000/play/a0cz/index.m3u8,,General,International,es,true,tv,csv
tv_film_arts_hd,"Film & arts HD",http://181.188.216.5:18000/play/a0cu/index.m3u8,,Movies,International,es,true,tv,csv
tv_golden_premiere_2_hd,"Golden Premiere 2 HD",http://181.188.216.5:18000/play/a09k/index.m3u8,,General,International,es,true,tv,csv
tv_golden_premiere_hd,"Golden Premiere HD",http://181.188.216.5:18000/play/a09j/index.m3u8,,General,International,es,true,tv,csv
tv_hbo_pop_hd,"HBO POP HD",http://181.188.216.5:18000/play/a0im/index.m3u8,,Movies,International,es,true,tv,csv
tv_hbo_xtreme_hd,"HBO XTREME HD",http://181.188.216.5:18000/play/a0p1/index.m3u8,,Movies,International,es,true,tv,csv
tv_hei_hd,"HEI HD",http://181.188.216.5:18000/play/a0p3/index.m3u8,,General,International,es,true,tv,csv
tv_home_health_hd,"Home & Health HD",http://181.188.216.5:18000/play/a0d9/index.m3u8,,General,International,es,true,tv,csv
tv_mega_hd,"MEGA HD",http://181.188.216.5:18000/play/a003/index.m3u8,,General,Chile,es,true,tv,csv
tv_mtv_00s_hd,"MTV 00s HD",http://181.188.216.5:18000/play/a0dd/index.m3u8,,Music,International,es,true,tv,csv
tv_nat_geo_hd,"Nat Geo HD",http://181.188.216.5:18000/play/a0do/index.m3u8,,General,International,es,true,tv,csv
tv_nick_hd,"Nick HD",http://181.188.216.5:18000/play/a0iq/index.m3u8,,Kids,International,es,true,tv,csv
tv_nick_sim_hd,"Nick SIM HD",http://181.188.216.5:18000/play/a0d6/index.m3u8,,Kids,International,es,true,tv,csv
tv_pasiones_hd,"Pasiones HD",http://181.188.216.5:18000/play/a0dt/index.m3u8,,General,International,es,true,tv,csv
tv_playboy_hd,"Playboy HD",http://181.188.216.5:18000/play/a0o4/index.m3u8,,General,International,es,true,tv,csv
tv_rcn_hd,"RCN HD",http://181.188.216.5:18000/play/a0fc/index.m3u8,,General,Colombia,es,true,tv,csv
tv_star_channel_hd,"STAR CHANNEL HD",http://181.188.216.5:18000/play/a0ow/index.m3u8,,General,International,es,true,tv,csv
tv_sony_movies_hd,"Sony Movies HD",http://181.188.216.5:18000/play/a0d0/index.m3u8,,Movies,International,es,true,tv,csv
tv_star_tve_hd,"Star TVE HD",http://181.188.216.5:18000/play/a0d3/index.m3u8,,General,International,es,true,tv,csv
tv_stingray_concerts_hd,"Stingray Concerts HD",http://181.188.216.5:18000/play/a0j4/index.m3u8,,General,International,es,true,tv,csv
tv_sun_channel_hd,"Sun Channel HD",http://181.188.216.5:18000/play/a0p2/index.m3u8,,General,International,es,true,tv,csv
tv_tc_hd,"TC HD",http://181.188.216.5:18000/play/a0lv/index.m3u8,,General,International,es,true,tv,csv
tv_td2_hd_cr,"TD+2 HD CR",http://181.188.216.5:18000/play/a09f/index.m3u8,,General,International,es,true,tv,csv
tv_tdhd_cr,"TD+HD CR",http://181.188.216.5:18000/play/a09e/index.m3u8,,General,International,es,true,tv,csv
tv_teleamazonas_hd,"TELEAMAZONAS HD",http://181.188.216.5:18000/play/a0lw/index.m3u8,,General,International,es,true,tv,csv
tv_telesucesos_hd,"TELESUCESOS HD",http://181.188.216.5:18000/play/a0lx/index.m3u8,,General,International,es,true,tv,csv
tv_tnt_novelas_hd,"TNT Novelas HD",http://181.188.216.5:18000/play/a0oe/index.m3u8,,General,International,es,true,tv,csv
tv_tnt_sports_premiun_hd,"TNT Sports Premiun HD",http://181.188.216.5:18000/play/a0ik/index.m3u8,,Sports,International,es,true,tv,csv
tv_tvc_hd,"TVC HD",http://181.188.216.5:18000/play/a0ly/index.m3u8,,General,International,es,true,tv,csv
tv_tvn_hd,"TVN HD",http://181.188.216.5:18000/play/a0ih/index.m3u8,,General,International,es,true,tv,csv
tv_teen_nick_hd,"Teen Nick HD",http://181.188.216.5:18000/play/a0cq/index.m3u8,,Kids,International,es,true,tv,csv
tv_tigo_sports_hd,"Tigo Sports HD",http://181.188.216.5:18000/play/a0d5/index.m3u8,,Sports,International,es,true,tv,csv
tv_universal_cinema_este_hd,"UNIVERSAL CINEMA ESTE HD",http://181.188.216.5:18000/play/a0dw/index.m3u8,,Movies,International,es,true,tv,csv
tv_universal_comedy_hd,"UNIVERSAL COMEDY HD",http://181.188.216.5:18000/play/a0di/index.m3u8,,Comedy,International,es,true,tv,csv
tv_universal_crime_hd,"UNIVERSAL CRIME HD",http://181.188.216.5:18000/play/a0dh/index.m3u8,,General,International,es,true,tv,csv
tv_universal_premiere_hd,"UNIVERSAL PREMIERE HD",http://181.188.216.5:18000/play/a0de/index.m3u8,,General,International,es,true,tv,csv
tv_universal_premiere_o_hd,"UNIVERSAL PREMIERE O HD",http://181.188.216.5:18000/play/a0df/index.m3u8,,General,International,es,true,tv,csv
tv_universal_reality_hd,"UNIVERSAL REALITY HD",http://181.188.216.5:18000/play/a0dg/index.m3u8,,General,International,es,true,tv,csv
tv_univision_hd,"Univision HD",http://181.188.216.5:18000/play/a0du/index.m3u8,,General,International,es,true,tv,csv
tv_warner_channel_hd,"Warner Channel HD",http://181.188.216.5:18000/play/a0op/index.m3u8,,General,International,es,true,tv,csv